original_term,normalized,canonical,frequency,is_garbage,level_2,level_2_description,level_3,level_3_description
Bootstrap simulation,Bootstrap Simulation,Bootstrap Simulation,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Bootstrap simulations,Bootstrap Simulation,Bootstrap Simulation,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
bootstrap statistics,Bootstrap Statistic,Bootstrap Statistic,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
bootstrap tests,Bootstrap Test,Bootstrap Test,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
bootstrapped 95% confidence limits,Bootstrapped 95% Confidence Limit,Bootstrapped 95% Confidence Limit,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
bootstrapped quantile regression,Bootstrapped Quantile Regression,Bootstrapped Quantile Regression,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Bootstrapping,Bootstrapping,Bootstrapping,9,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
bootstrapping,Bootstrapping,Bootstrapping,7,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
cluster bootstrap,Cluster Bootstrap,Cluster Bootstrap,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Jack-knife procedure,Jack Knife Procedure,Jack Knife Procedure,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Jackknife Allocation,Jackknife Allocation,Jackknife Allocation,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Resampling,Resampling,Resampling,2,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
resampling,Resampling,Resampling,2,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
resampling methods,Resampling Method,Resampling Method,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
single-bootstrap experiments,Single Bootstrap Experiment,Single Bootstrap Experiment,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
train-test resampling,Train Test Resampling,Train Test Resampling,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-046: Bootstrap and Jackknife Resampling,This cluster encompasses resampling techniques that estimate sampling distributions and confidence intervals by repeatedly drawing samples with replacement (Bootstrap) or systematically omitting observations (Jackknife) from a dataset.
Approximate Randomization,Approximate Randomization,Approximate Randomization,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
phase-randomized surrogate approach,Phase Randomized Surrogate Approach,Phase Randomized Surrogate Approach,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Point Random Sampling,Point Random Sampling,Point Random Sampling,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Random Effects,Random Effect,Random Effect,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Random Expectation Statistics,Random Expectation Statistic,Random Expectation Statistic,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Random Node Masking,Random Node Masking,Random Node Masking,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Random Permutation Tests,Random Permutation Test,Random Permutation Test,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
random samples from observed values,Random Sample From Observed Value,Random Sample From Observed Value,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Random Sampling,Random Sampling,Random Sampling,3,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Random Walk Model,Random Walk Model,Random Walk Model,2,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
random walk model,Random Walk Model,Random Walk Model,2,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
randomization,Randomization,Randomization,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Randomization procedures,Randomization Procedure,Randomization Procedure,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Randomized Complete Block Design,Randomized Complete Block Design,Randomized Complete Block Design,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Randomized Hough Transform,Randomized Hough Transform,Randomized Hough Transform,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Randomized Weighted Adjacency Matrix,Randomized Weighted Adjacency Matrix,Randomized Weighted Adjacency Matrix,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
randomTF,Randomtf,Randomtf,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Statistical randomisation test,Statistical Randomisation Test,Statistical Randomisation Test,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
Systematized Random Sampling,Systematized Random Sampling,Systematized Random Sampling,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-049: Randomization-Based Statistical Inference,"This cluster encompasses methods that utilize random sampling, permutation, or stochastic processes to generate surrogate data, assess statistical significance, or approximate complex distributions without relying on parametric assumptions."
bootstrap two-sample t test,Bootstrap Two Sample T Test,Bootstrap Two Sample T Test,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-098: Nonparametric Statistical Methods,"This cluster encompasses distribution-free statistical techniques, including rank-based tests, bootstrap procedures, and smoothing methods that do not assume a specific underlying data distribution."
Non-parametric analysis of variance,Non Parametric Analysi Of Variance,Non Parametric Analysi Of Variance,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-098: Nonparametric Statistical Methods,"This cluster encompasses distribution-free statistical techniques, including rank-based tests, bootstrap procedures, and smoothing methods that do not assume a specific underlying data distribution."
Non-parametric Approaches,Non Parametric Approache,Non Parametric Approache,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-098: Nonparametric Statistical Methods,"This cluster encompasses distribution-free statistical techniques, including rank-based tests, bootstrap procedures, and smoothing methods that do not assume a specific underlying data distribution."
Parametric Approaches,Parametric Approache,Non Parametric Approache,1,False,L2-00: Univariate & Classical Hypothesis Testing,"Classical frequentist tests for comparing groups or distributions on a single variable, forming the baseline of inferential statistics before multivariate and computational methods. Examples: t-test, Mann-Whitney U, Chi-square, ANOVA, Kruskal-Wallis, Kolmogorov-Smirnov, Fisher's Exact Test, Wilcoxon Signed-Rank.",L3-098: Nonparametric Statistical Methods,"This cluster encompasses distribution-free statistical techniques, including rank-based tests, bootstrap procedures, and smoothing methods that do not assume a specific underlying data distribution."
