iteration,profile,question,l2_input,vague_input,l4_method,l4_justification,l3_mapping,l3_mapping_consistent,l3_mapping_runs
2,novice,How do I analyse and interpret architectural structures or built features at a site?,,,D Photogrammetry,"This method uses overlapping photographs to generate accurate, measurable 3D models of architectural features.",L3-176: Imaging and Photogrammetric Analysis,True,"[""L3-176: Imaging and Photogrammetric Analysis"", ""L3-176: Imaging and Photogrammetric Analysis"", ""L3-176: Imaging and Photogrammetric Analysis""]"
2,novice,How do I analyse and interpret architectural structures or built features at a site?,,,LiDAR Scanning,"LiDAR captures dense point clouds of a site, providing precise spatial data for measuring and modeling structures.",L3-152: Laser and Structured Light 3D Scanning,True,"[""L3-152: Laser and Structured Light 3D Scanning"", ""L3-152: Laser and Structured Light 3D Scanning"", ""L3-152: Laser and Structured Light 3D Scanning""]"
2,novice,How do I analyse and interpret architectural structures or built features at a site?,,,Geographic Information Systems (GIS),GIS allows for the spatial analysis and mapping of architectural features in relation to the broader site context.,L3-226: Geographic Information System Modeling,True,"[""L3-226: Geographic Information System Modeling"", ""L3-226: Geographic Information System Modeling"", ""L3-226: Geographic Information System Modeling""]"
2,novice,How do I analyse and interpret architectural structures or built features at a site?,,,Digital Elevation Models (DEMs),DEMs are derived from survey data to analyze the topography and relationship of structures to the landscape.,L3-208: Digital Terrain Modeling and Analysis,True,"[""L3-208: Digital Terrain Modeling and Analysis"", ""L3-208: Digital Terrain Modeling and Analysis"", ""L3-208: Digital Terrain Modeling and Analysis""]"
2,novice,How do I analyse and interpret architectural structures or built features at a site?,,,"D Modeling Software (e.g., Blender, SketchUp)","These tools enable the creation of detailed, interpretive digital representations of the recovered architectural forms.",L3-171: 3D Geometry and Reconstruction,True,"[""L3-171: 3D Geometry and Reconstruction"", ""L3-171: 3D Geometry and Reconstruction"", ""L3-171: 3D Geometry and Reconstruction""]"
2,novice,How do I analyse and interpret architectural structures or built features at a site?,,,Computer Vision (Image Segmentation),This technique can automatically identify and delineate architectural elements (like walls or foundations) from aerial or ground imagery.,L3-202: Deep Learning Semantic Segmentation,True,"[""L3-202: Deep Learning Semantic Segmentation"", ""L3-202: Deep Learning Semantic Segmentation"", ""L3-202: Deep Learning Semantic Segmentation""]"
2,novice,How do I analyse and interpret architectural structures or built features at a site?,,,Network Analysis,This can be used to analyze the connectivity and spatial relationships between different parts of a built structure.,L3-080: Network Analysis and Modeling,True,"[""L3-080: Network Analysis and Modeling"", ""L3-080: Network Analysis and Modeling"", ""L3-080: Network Analysis and Modeling""]"
3,expert,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",Spatial Statistics & Point Pattern Analysis,,Nearest Neighbor Analysis (NNA),This measures the average distance between features to assess the spatial regularity or clustering of urban elements.,L3-056: Nearest Neighbor Analysis,True,"[""L3-056: Nearest Neighbor Analysis"", ""L3-056: Nearest Neighbor Analysis"", ""L3-056: Nearest Neighbor Analysis""]"
3,expert,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",Spatial Statistics & Point Pattern Analysis,,Ripley's K-function,This provides a comprehensive measure of spatial clustering or dispersion across multiple distance scales within the urban context.,L3-222: Spatial Autocorrelation and Geostatistics,True,"[""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics""]"
3,expert,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",Spatial Statistics & Point Pattern Analysis,,Kernel Density Estimation (KDE),This smooths the point data to create continuous surfaces representing the intensity or density of different urban features over the landscape.,L3-033: Kernel Density Estimation,True,"[""L3-033: Kernel Density Estimation"", ""L3-033: Kernel Density Estimation"", ""L3-033: Kernel Density Estimation""]"
3,expert,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",Spatial Statistics & Point Pattern Analysis,,Getis-Ord Gi* Statistic,"This identifies statistically significant ""hot spots"" (high-density clusters) and ""cold spots"" (low-density clusters) of specific urban features.",L3-222: Spatial Autocorrelation and Geostatistics,True,"[""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics""]"
3,expert,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",Spatial Statistics & Point Pattern Analysis,,Moran's I,"This assesses the degree of spatial autocorrelation, indicating whether similar features tend to be located near other similar features.",L3-222: Spatial Autocorrelation and Geostatistics,True,"[""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics""]"
3,expert,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",Spatial Statistics & Point Pattern Analysis,,"Space-Time Point Pattern Analysis (e.g., Spatio-temporal Kernel Density)","This is used if the data includes temporal layers, allowing analysis of how the organization and density of features changed over time.",L3-033: Kernel Density Estimation,True,"[""L3-033: Kernel Density Estimation"", ""L3-033: Kernel Density Estimation"", ""L3-033: Kernel Density Estimation""]"
3,expert,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",Spatial Statistics & Point Pattern Analysis,,"Cluster Analysis (e.g., DBSCAN or K-Means on spatial coordinates)","This groups spatially proximate points into distinct clusters, helping to delineate different functional or organizational zones within the ancient city.",L3-025: Density-Based Clustering,True,"[""L3-025: Density-Based Clustering"", ""L3-025: Density-Based Clustering"", ""L3-025: Density-Based Clustering""]"
3,intermediate,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,some kind of network or relational analysis,Spatial Point Pattern Analysis,This method helps identify clustering or dispersion patterns of features across the urban landscape.,L3-222: Spatial Autocorrelation and Geostatistics,True,"[""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics""]"
3,intermediate,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,some kind of network or relational analysis,Graph Theory / Network Analysis,"This allows you to model relationships between different urban elements (e.g., buildings, roads, districts) as nodes and edges.",L3-080: Network Analysis and Modeling,True,"[""L3-080: Network Analysis and Modeling"", ""L3-080: Network Analysis and Modeling"", ""L3-080: Network Analysis and Modeling""]"
3,intermediate,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,some kind of network or relational analysis,Geographic Information Systems (GIS) Spatial Statistics,GIS provides the foundational framework for analyzing spatial autocorrelation and neighborhood effects within the urban context.,L3-222: Spatial Autocorrelation and Geostatistics,True,"[""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics""]"
3,intermediate,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,some kind of network or relational analysis,Agent-Based Modeling (ABM),"ABM can simulate how individual actors (e.g., inhabitants, builders) interact over time to generate emergent urban patterns.",L3-220: Discrete and Agent-Based Simulation,True,"[""L3-220: Discrete and Agent-Based Simulation"", ""L3-220: Discrete and Agent-Based Simulation"", ""L3-220: Discrete and Agent-Based Simulation""]"
3,intermediate,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,some kind of network or relational analysis,Time-Series Analysis (when data is temporally sequenced),"This is useful for tracking quantitative changes in urban metrics (e.g., density, size) across different archaeological phases.",L3-136: Time Series Stationarity and Causality,True,"[""L3-136: Time Series Stationarity and Causality"", ""L3-136: Time Series Stationarity and Causality"", ""L3-136: Time Series Stationarity and Causality""]"
3,intermediate,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,some kind of network or relational analysis,"Network Centrality Measures (e.g., Betweenness, Degree)","These metrics quantify the importance or connectivity of specific nodes (e.g., key intersections or monumental structures) within the urban network.",L3-037: Network Centrality Metrics,True,"[""L3-037: Network Centrality Metrics"", ""L3-037: Network Centrality Metrics"", ""L3-037: Network Centrality Metrics""]"
3,intermediate,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,some kind of network or relational analysis,Landscape Metrics Analysis,"This quantifies the overall shape, complexity, and fragmentation of different land-use zones within the ancient city.",L3-214: GIS-Based Landscape Characterization,True,"[""L3-214: GIS-Based Landscape Characterization"", ""L3-214: GIS-Based Landscape Characterization"", ""L3-214: GIS-Based Landscape Characterization""]"
3,novice,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,,Geographic Information Systems (GIS),GIS allows for the spatial mapping and analysis of archaeological features across the urban context to reveal patterns of organization and growth.,L3-226: Geographic Information System Modeling,True,"[""L3-226: Geographic Information System Modeling"", ""L3-226: Geographic Information System Modeling"", ""L3-226: Geographic Information System Modeling""]"
3,novice,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,,Spatial Statistics,"Spatial statistics can be used to identify statistically significant clustering or dispersion of features, indicating patterns of settlement or functional organization.",L3-222: Spatial Autocorrelation and Geostatistics,True,"[""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics"", ""L3-222: Spatial Autocorrelation and Geostatistics""]"
3,novice,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,,Network Analysis,"Network analysis can model the relationships and connectivity between different parts of the urban context, revealing infrastructure or social organization.",L3-080: Network Analysis and Modeling,True,"[""L3-080: Network Analysis and Modeling"", ""L3-080: Network Analysis and Modeling"", ""L3-080: Network Analysis and Modeling""]"
3,novice,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,,Time Series Analysis,Time series analysis can track changes in the density or distribution of features over successive archaeological layers to model growth and transformation.,L3-136: Time Series Stationarity and Causality,True,"[""L3-136: Time Series Stationarity and Causality"", ""L3-136: Time Series Stationarity and Causality"", ""L3-136: Time Series Stationarity and Causality""]"
3,novice,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,,D Modeling and Visualization,3D modeling allows researchers to reconstruct the physical form and spatial relationships of the urban environment at different points in time.,L3-171: 3D Geometry and Reconstruction,True,"[""L3-171: 3D Geometry and Reconstruction"", ""L3-171: 3D Geometry and Reconstruction"", ""L3-171: 3D Geometry and Reconstruction""]"
3,novice,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,,Object-Based Image Analysis (OBIA),"OBIA can be applied to aerial or LiDAR data to automatically delineate and classify different urban elements (e.g., building footprints, roads) for quantitative analysis.",L3-172: Multispectral and Hyperspectral Imaging,False,"[""L3-167: Multivariate Statistical & Machine Learning Methods"", ""L3-172: Multispectral and Hyperspectral Imaging"", ""L3-172: Multispectral and Hyperspectral Imaging""]"
3,novice,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,,Agent-Based Modeling (ABM),"ABM can simulate the emergent behavior of individual agents (e.g., inhabitants) based on local rules to model complex urban growth and transformation processes.",L3-220: Discrete and Agent-Based Simulation,True,"[""L3-220: Discrete and Agent-Based Simulation"", ""L3-220: Discrete and Agent-Based Simulation"", ""L3-220: Discrete and Agent-Based Simulation""]"
3,novice,"How do I analyse the organisation, growth, and transformation of an ancient urban context?",,,Digital Chronology/Dating Integration,"Integrating chronological data (e.g., radiocarbon dates) directly into spatial models allows for the temporal tracking of organizational shifts.",L3-132: Chronostratigraphic Dating Methods,True,"[""L3-132: Chronostratigraphic Dating Methods"", ""L3-132: Chronostratigraphic Dating Methods"", ""L3-132: Chronostratigraphic Dating Methods""]"
4,expert,How do I characterise and compare material cultures from different periods or traditions to identify continuities and discontinuities?,Geoarchaeology & Sediment Analysis,,Principal Component Analysis (PCA),"PCA can reduce the dimensionality of complex material attribute data (e.g., ceramic temper composition) to identify major axes of variation across different cultural groups.",L3-019: Principal Component Analysis Variants,False,"[""L3-019: Principal Component Analysis Variants"", ""L3-199: Viewshed and Intervisibility Analysis"", ""L3-019: Principal Component Analysis Variants""]"
4,expert,How do I characterise and compare material cultures from different periods or traditions to identify continuities and discontinuities?,Geoarchaeology & Sediment Analysis,,"Cluster Analysis (e.g., K-means or Hierarchical Clustering)","Clustering algorithms can group artifacts or sites based on shared material characteristics, revealing natural groupings that correspond to cultural traditions.",L3-010: Hierarchical Clustering Algorithms,True,"[""L3-010: Hierarchical Clustering Algorithms"", ""L3-010: Hierarchical Clustering Algorithms"", ""L3-010: Hierarchical Clustering Algorithms""]"
4,expert,How do I characterise and compare material cultures from different periods or traditions to identify continuities and discontinuities?,Geoarchaeology & Sediment Analysis,,"Multivariate Statistical Analysis (e.g., Discriminant Function Analysis - DFA)",DFA can determine which material variables best differentiate between predefined cultural periods or traditions.,L3-115: Multivariate Statistical Analysis,True,"[""L3-115: Multivariate Statistical Analysis"", ""L3-115: Multivariate Statistical Analysis"", ""L3-115: Multivariate Statistical Analysis""]"
4,expert,How do I characterise and compare material cultures from different periods or traditions to identify continuities and discontinuities?,Geoarchaeology & Sediment Analysis,,"Geochemical Fingerprinting (e.g., X-ray Fluorescence - XRF analysis followed by statistical comparison)","XRF allows for the non-destructive elemental characterization of materials, providing quantitative data for comparing raw material sourcing and technological practices.",L3-088: X-ray Fluorescence and Absorption Spectroscopy,True,"[""L3-088: X-ray Fluorescence and Absorption Spectroscopy"", ""L3-088: X-ray Fluorescence and Absorption Spectroscopy"", ""L3-088: X-ray Fluorescence and Absorption Spectroscopy""]"
4,expert,How do I characterise and compare material cultures from different periods or traditions to identify continuities and discontinuities?,Geoarchaeology & Sediment Analysis,,"Isotope Geochemistry (e.g., $\text{Sr}$ or $\text{O}$ isotope analysis)","Isotope analysis can trace the geographical origin of raw materials, revealing continuity or shifts in trade networks and resource exploitation.",L3-105: Stable Isotope Ratio Analysis,True,"[""L3-105: Stable Isotope Ratio Analysis"", ""L3-105: Stable Isotope Ratio Analysis"", ""L3-105: Stable Isotope Ratio Analysis""]"
