iteration,profile,question,l2_input,vague_input,l4_method,l4_justification,l3_mapping,l3_mapping_consistent,l3_mapping_runs
1,intermediate,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,some kind of dating or chronological modelling,Seriation,This statistical technique orders assemblages of artifacts by changing frequencies to reconstruct relative chronologies when absolute dates are unavailable.,L3-124: Permutation and Seriation Methods,True,"[""L3-124: Permutation and Seriation Methods"", ""L3-124: Permutation and Seriation Methods"", ""L3-124: Permutation and Seriation Methods""]"
1,intermediate,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,some kind of dating or chronological modelling,"Contextual Bayesian Networks (e.g., using the 'context' package in R)",This method models the probabilistic relationships between different excavation units to refine the interpretation of site formation processes and function.,L3-138: Bayesian Computational Techniques,True,"[""L3-138: Bayesian Computational Techniques"", ""L3-138: Bayesian Computational Techniques"", ""L3-138: Bayesian Computational Techniques""]"
1,intermediate,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,some kind of dating or chronological modelling,Typological Analysis with Machine Learning,"This approach uses algorithms to classify artifact styles and trace their evolution over time, helping to define cultural phases and site function.",L3-178: Computational Analytical Methods,True,"[""L3-178: Computational Analytical Methods"", ""L3-178: Computational Analytical Methods"", ""L3-178: Computational Analytical Methods""]"
1,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Bayesian Chronological Modeling,This method integrates radiocarbon dates with stratigraphic constraints to generate precise probability distributions for site occupation phases.,L3-018: Bayesian Chronological Modeling,True,"[""L3-018: Bayesian Chronological Modeling"", ""L3-018: Bayesian Chronological Modeling"", ""L3-018: Bayesian Chronological Modeling""]"
1,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Spatial Point Pattern Analysis,"This technique statistically evaluates the distribution of artifact scatters to distinguish between random deposition, clustering, and regular spacing patterns.",L3-021: Spatial Pattern & Suitability Analysis,True,"[""L3-021: Spatial Pattern & Suitability Analysis"", ""L3-021: Spatial Pattern & Suitability Analysis"", ""L3-021: Spatial Pattern & Suitability Analysis""]"
1,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,"Multivariate Statistical Classification (e.g., PCA or Cluster Analysis)",This approach reduces complex artifact assemblage data into interpretable groups to identify distinct functional zones or technological traditions within the site.,L3-152: Multivariate Analysis Variants,True,"[""L3-152: Multivariate Analysis Variants"", ""L3-152: Multivariate Analysis Variants"", ""L3-152: Multivariate Analysis Variants""]"
1,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Agent-Based Modeling (ABM),This simulation method tests hypotheses about human behavior and site formation processes by modeling individual agents interacting within a reconstructed environmental context.,L3-173: Discrete Event & Agent Simulation,True,"[""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation""]"
1,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Network Analysis,"This method maps and quantifies relationships between artifacts, features, or sites to reveal social connectivity, trade routes, or information flow.",L3-074: Network Structure Analysis,True,"[""L3-074: Network Structure Analysis"", ""L3-074: Network Structure Analysis"", ""L3-074: Network Structure Analysis""]"
1,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Digital Elevation Model (DEM) Derivation and Viewshed Analysis,"This geospatial technique reconstructs the original topography to understand how the site's location influenced visibility, defense, and resource access.",L3-015: Digital Terrain Modeling,True,"[""L3-015: Digital Terrain Modeling"", ""L3-015: Digital Terrain Modeling"", ""L3-015: Digital Terrain Modeling""]"
1,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Lidar (Light Detection and Ranging) Data Processing,This remote sensing method penetrates vegetation to reveal subtle subsurface architectural features and landscape modifications invisible to the naked eye.,L3-019: Laser Scanning and Lidar,True,"[""L3-019: Laser Scanning and Lidar"", ""L3-019: Laser Scanning and Lidar"", ""L3-019: Laser Scanning and Lidar""]"
1,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Provenance Modeling using Isotope or Trace Element Data,This geochemical method links artifacts to specific geological sources to reconstruct ancient trade networks and raw material procurement strategies.,L3-134: Geochemical Isotope & Elemental Modeling,True,"[""L3-134: Geochemical Isotope & Elemental Modeling"", ""L3-134: Geochemical Isotope & Elemental Modeling"", ""L3-134: Geochemical Isotope & Elemental Modeling""]"
1,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Machine Learning for Artifact Classification,This algorithm automatically identifies and categorizes thousands of artifacts based on visual or morphological features to accelerate typological analysis.,L3-076: Topic Modeling & Classification,True,"[""L3-076: Topic Modeling & Classification"", ""L3-076: Topic Modeling & Classification"", ""L3-076: Topic Modeling & Classification""]"
1,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,"Contextual Database Management (e.g., using SQL or relational databases)","This organizational method structures excavation records to enable complex, multi-variable queries that reveal hidden correlations between context, date, and artifact type.",L3-002: Relational Database Operations,True,"[""L3-002: Relational Database Operations"", ""L3-002: Relational Database Operations"", ""L3-002: Relational Database Operations""]"
2,expert,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?, Geophysical Numerical Modeling,,Finite-Difference Time-Domain (FDTD) Electromagnetic Modeling,This method simulates the propagation of electromagnetic waves through heterogeneous soil layers to predict how specific archaeological features (like ditches or walls) distort ground-penetrating radar signals.,L3-176: Computational Simulation & Modeling,True,"[""L3-176: Computational Simulation & Modeling"", ""L3-176: Computational Simulation & Modeling"", ""L3-176: Computational Simulation & Modeling""]"
2,expert,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?, Geophysical Numerical Modeling,,Boundary Element Method (BEM) for Induced Polarization,This approach efficiently calculates the complex electrical charge accumulation at the interface between contrasting geological materials to interpret resistivity survey data from buried structures.,L3-116: Inverse Modeling Techniques,True,"[""L3-116: Inverse Modeling Techniques"", ""L3-116: Inverse Modeling Techniques"", ""L3-116: Inverse Modeling Techniques""]"
2,expert,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?, Geophysical Numerical Modeling,,Inverse Scattering Tomography,This algorithm reconstructs the internal dielectric properties of a target from scattered wave data to identify the precise 3D geometry of subsurface anomalies without prior shape assumptions.,L3-116: Inverse Modeling Techniques,True,"[""L3-116: Inverse Modeling Techniques"", ""L3-116: Inverse Modeling Techniques"", ""L3-116: Inverse Modeling Techniques""]"
2,expert,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?, Geophysical Numerical Modeling,,Bayesian Inversion with Markov Chain Monte Carlo (MCMC),"This statistical framework quantifies the uncertainty in model parameters by sampling the posterior probability distribution, allowing researchers to assess the likelihood that a modern experimental feature matches the ancient material evidence.",L3-138: Bayesian Computational Techniques,True,"[""L3-138: Bayesian Computational Techniques"", ""L3-138: Bayesian Computational Techniques"", ""L3-138: Bayesian Computational Techniques""]"
2,expert,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?, Geophysical Numerical Modeling,,Computational Fluid Dynamics (CFD) for Experimental Replication,This tool simulates airflow and combustion patterns in reconstructed hearths or kilns to validate whether observed ash distributions and soot stains align with hypothesized ancient firing techniques.,L3-159: Fluid Dynamics Simulation,True,"[""L3-159: Fluid Dynamics Simulation"", ""L3-159: Fluid Dynamics Simulation"", ""L3-159: Fluid Dynamics Simulation""]"
2,expert,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?, Geophysical Numerical Modeling,,Agent-Based Modeling for Settlement Dynamics,This simulation technique tests hypotheses about past human behavior by running thousands of virtual agents with defined rules to see if emergent settlement patterns match the spatial distribution of archaeological finds.,L3-173: Discrete Event & Agent Simulation,True,"[""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation""]"
2,intermediate,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?,,some kind of network or relational analysis,Social Network Analysis (SNA),This method quantifies relationships between archaeological sites or artifacts to identify trade networks and cultural diffusion patterns that mirror modern supply chains.,L3-074: Network Structure Analysis,True,"[""L3-074: Network Structure Analysis"", ""L3-074: Network Structure Analysis"", ""L3-074: Network Structure Analysis""]"
2,intermediate,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?,,some kind of network or relational analysis,Agent-Based Modeling (ABM),"By simulating individual decision-making processes based on experimental ethnographic data, this approach allows researchers to test how specific behavioral rules generate observed material distributions.",L3-173: Discrete Event & Agent Simulation,True,"[""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation""]"
2,intermediate,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?,,some kind of network or relational analysis,Concordance Analysis,This technique statistically compares the frequency and context of specific artifact attributes across experimental and archaeological datasets to identify shared technological traditions.,L3-073: Correlation Analysis Methods,True,"[""L3-073: Correlation Analysis Methods"", ""L3-073: Correlation Analysis Methods"", ""L3-073: Correlation Analysis Methods""]"
2,intermediate,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?,,some kind of network or relational analysis,Processual Simulation,This method uses computational models of production sequences derived from modern practices to predict the expected spatial and temporal distribution of waste products.,L3-176: Computational Simulation & Modeling,True,"[""L3-176: Computational Simulation & Modeling"", ""L3-176: Computational Simulation & Modeling"", ""L3-176: Computational Simulation & Modeling""]"
2,intermediate,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?,,some kind of network or relational analysis,Multivariate Correspondence Analysis,This statistical tool reduces high-dimensional data from experimental and archaeological assemblages to reveal underlying structural similarities in craft organization.,L3-152: Multivariate Analysis Variants,True,"[""L3-152: Multivariate Analysis Variants"", ""L3-152: Multivariate Analysis Variants"", ""L3-152: Multivariate Analysis Variants""]"
2,intermediate,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?,,some kind of network or relational analysis,Digital Twin Modeling,This approach creates a virtual replica of an experimental process to iteratively adjust variables until the simulated output matches the archaeological record.,L3-176: Computational Simulation & Modeling,True,"[""L3-176: Computational Simulation & Modeling"", ""L3-176: Computational Simulation & Modeling"", ""L3-176: Computational Simulation & Modeling""]"
2,intermediate,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?,,some kind of network or relational analysis,Bayesian Inference,This probabilistic framework integrates prior knowledge from modern analogs with archaeological data to estimate the likelihood of specific past behaviors.,L3-138: Bayesian Computational Techniques,True,"[""L3-138: Bayesian Computational Techniques"", ""L3-138: Bayesian Computational Techniques"", ""L3-138: Bayesian Computational Techniques""]"
2,intermediate,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?,,some kind of network or relational analysis,Geospatial Network Analysis,This method maps the physical connectivity of sites using modern transportation cost surfaces to evaluate hypotheses about ancient movement and interaction.,L3-035: GIS Computational Analysis,True,"[""L3-035: GIS Computational Analysis"", ""L3-035: GIS Computational Analysis"", ""L3-035: GIS Computational Analysis""]"
2,intermediate,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?,,some kind of network or relational analysis,Machine Learning Classification,This algorithm trains on labeled experimental datasets to automatically classify ambiguous archaeological artifacts based on subtle morphological or compositional features.,L3-169: Ranking and Classification Methods,True,"[""L3-169: Ranking and Classification Methods"", ""L3-169: Ranking and Classification Methods"", ""L3-169: Ranking and Classification Methods""]"
2,intermediate,How do I use comparisons with modern or experimental practices to interpret material evidence from the past?,,some kind of network or relational analysis,Temporal Sequence Modeling,This technique aligns the chronological progression of experimental techniques with archaeological layers to trace the evolution of specific practices over time.,L3-062: Temporal Dynamics Modeling,True,"[""L3-062: Temporal Dynamics Modeling"", ""L3-062: Temporal Dynamics Modeling"", ""L3-062: Temporal Dynamics Modeling""]"
2,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Spatial Analysis,This method quantifies site location patterns and landscape relationships to reveal settlement strategies and resource access.,L3-035: GIS Computational Analysis,True,"[""L3-035: GIS Computational Analysis"", ""L3-035: GIS Computational Analysis"", ""L3-035: GIS Computational Analysis""]"
2,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Chronological Modeling,Bayesian statistical modeling integrates radiocarbon dates and stratigraphic constraints to generate precise probability distributions for site occupation phases.,L3-062: Temporal Dynamics Modeling,True,"[""L3-062: Temporal Dynamics Modeling"", ""L3-062: Temporal Dynamics Modeling"", ""L3-062: Temporal Dynamics Modeling""]"
2,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Artifact Provenance Analysis,Isotope ratio mass spectrometry and trace element analysis determine the geological origins of materials to reconstruct trade networks and economic systems.,L3-043: Knowledge Graph Construction & Analysis,True,"[""L3-043: Knowledge Graph Construction & Analysis"", ""L3-043: Knowledge Graph Construction & Analysis"", ""L3-043: Knowledge Graph Construction & Analysis""]"
2,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,D Photogrammetry,Creating high-resolution digital models allows for the non-invasive measurement of architectural features and artifact morphology to infer construction techniques and usage.,L3-024: Advanced Photogrammetric Techniques,True,"[""L3-024: Advanced Photogrammetric Techniques"", ""L3-024: Advanced Photogrammetric Techniques"", ""L3-024: Advanced Photogrammetric Techniques""]"
2,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Network Analysis,"Mapping connections between artifacts, sites, and individuals identifies social structures, information flow, and the site's role within broader regional systems.",L3-074: Network Structure Analysis,True,"[""L3-074: Network Structure Analysis"", ""L3-074: Network Structure Analysis"", ""L3-074: Network Structure Analysis""]"
2,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Machine Learning Classification,Supervised learning algorithms automatically categorize large volumes of unsorted artifact data to identify functional groups and stylistic trends efficiently.,L3-169: Ranking and Classification Methods,True,"[""L3-169: Ranking and Classification Methods"", ""L3-169: Ranking and Classification Methods"", ""L3-169: Ranking and Classification Methods""]"
2,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Lidar Processing,Removing vegetation from aerial imagery exposes subtle earthworks and micro-topography to define the full extent of the site and its immediate environment.,L3-019: Laser Scanning and Lidar,True,"[""L3-019: Laser Scanning and Lidar"", ""L3-019: Laser Scanning and Lidar"", ""L3-019: Laser Scanning and Lidar""]"
2,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Agent-Based Modeling,Simulating individual behaviors within a virtual landscape tests hypotheses about how local decisions led to the observed site layout and function.,L3-173: Discrete Event & Agent Simulation,True,"[""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation"", ""L3-173: Discrete Event & Agent Simulation""]"
2,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Geochemical Fingerprinting,Comparing elemental signatures between pottery and local soils determines whether the site was a production center or a consumption hub.,L3-134: Geochemical Isotope & Elemental Modeling,True,"[""L3-134: Geochemical Isotope & Elemental Modeling"", ""L3-134: Geochemical Isotope & Elemental Modeling"", ""L3-134: Geochemical Isotope & Elemental Modeling""]"
2,novice,"How do I interpret the function, chronology, and overall significance of an archaeological site?",,,Paleoenvironmental Reconstruction,"Analyzing pollen, charcoal, and sediment cores within the site context reconstructs past climates to understand environmental drivers of site formation.",L3-183: Quantitative Modeling & Analysis,False,"[""L3-116: Inverse Modeling Techniques"", ""L3-183: Quantitative Modeling & Analysis"", ""L3-183: Quantitative Modeling & Analysis""]"
3,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?", Text Analysis & Mining,,"Topic Modeling (e.g., LDA or BERTopic)",This method clusters unstructured textual descriptions of artifact attributes to automatically identify latent compositional patterns or manufacturing style groups across large datasets.,L3-076: Topic Modeling & Classification,True,"[""L3-076: Topic Modeling & Classification"", ""L3-076: Topic Modeling & Classification"", ""L3-076: Topic Modeling & Classification""]"
3,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?", Text Analysis & Mining,,Named Entity Recognition (NER),"This technique extracts specific physicochemical values (e.g., ""99.9% silver"", ""obsidian"") and provenance locations from raw analytical reports to structure them for quantitative comparison.",L3-120: Information Extraction,True,"[""L3-120: Information Extraction"", ""L3-120: Information Extraction"", ""L3-120: Information Extraction""]"
3,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?", Text Analysis & Mining,,"Semantic Text Similarity (e.g., Sentence-BERT)",This algorithm quantifies the conceptual distance between textual descriptions of different artifacts to detect subtle variations in manufacturing techniques that numerical data might miss.,L3-017: Similarity Analysis Methods,True,"[""L3-017: Similarity Analysis Methods"", ""L3-017: Similarity Analysis Methods"", ""L3-017: Similarity Analysis Methods""]"
3,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?", Text Analysis & Mining,,"Clustering on Vector Embeddings (e.g., K-Means on Word2Vec)",This approach groups artifacts based on the semantic similarity of their associated analytical metadata to reveal hidden provenance clusters without pre-defined labels.,L3-080: Unsupervised Clustering Algorithms,True,"[""L3-080: Unsupervised Clustering Algorithms"", ""L3-080: Unsupervised Clustering Algorithms"", ""L3-080: Unsupervised Clustering Algorithms""]"
3,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?", Text Analysis & Mining,,Information Extraction (IE) Pipelines,"This framework systematically parses semi-structured lab notes to populate structured databases with specific elemental concentrations, isotopic ratios, and trace element signatures.",L3-120: Information Extraction,True,"[""L3-120: Information Extraction"", ""L3-120: Information Extraction"", ""L3-120: Information Extraction""]"
3,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?", Text Analysis & Mining,,"Anomaly Detection in Textual Descriptions (e.g., Isolation Forest on Embeddings)","This method flags outlier textual reports that describe anomalous chemical compositions or unique manufacturing signatures, potentially indicating rare artifact types or forgeries.",L3-045: Graph Anomaly Detection,True,"[""L3-045: Graph Anomaly Detection"", ""L3-045: Graph Anomaly Detection"", ""L3-045: Graph Anomaly Detection""]"
3,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?", Text Analysis & Mining,,Knowledge Graph Construction,"This technique integrates extracted physicochemical data with existing archaeological literature to map relationships between material sources, production techniques, and artifact types.",L3-043: Knowledge Graph Construction & Analysis,True,"[""L3-043: Knowledge Graph Construction & Analysis"", ""L3-043: Knowledge Graph Construction & Analysis"", ""L3-043: Knowledge Graph Construction & Analysis""]"
3,expert,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?", Text Analysis & Mining,,Sentiment Analysis (adapted for technical tone),"This variant assesses the confidence levels or qualitative descriptors (e.g., ""high purity,"" ""impure"") in analyst notes to correlate subjective assessments with objective physicochemical measurements.",L3-102: Lexical and Corpus Analysis,False,"[""L3-102: Lexical and Corpus Analysis"", ""L3-102: Lexical and Corpus Analysis"", ""L3-127: Semantic Text Understanding""]"
3,intermediate,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",,some kind of statistical or quantitative analysis,Principal Component Analysis (PCA),This unsupervised dimensionality reduction technique identifies the major sources of variance in spectral or elemental data to cluster samples by composition without prior labeling.,L3-149: Principal Component Analysis,True,"[""L3-149: Principal Component Analysis"", ""L3-149: Principal Component Analysis"", ""L3-149: Principal Component Analysis""]"
3,intermediate,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",,some kind of statistical or quantitative analysis,Hierarchical Cluster Analysis (HCA),"This method constructs a dendrogram to group artefacts based on similarity in their physicochemical profiles, helping to distinguish distinct manufacturing traditions or geological sources.",L3-080: Unsupervised Clustering Algorithms,False,"[""L3-080: Unsupervised Clustering Algorithms"", ""L3-001: Hierarchical Clustering Methods"", ""L3-080: Unsupervised Clustering Algorithms""]"
3,intermediate,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",,some kind of statistical or quantitative analysis,Linear Discriminant Analysis (LDA),"This supervised classification algorithm maximizes the separation between predefined groups (e.g., known provenance sites) to predict the origin of unknown artefacts with quantified confidence.",L3-142: Discriminant Analysis Techniques,True,"[""L3-142: Discriminant Analysis Techniques"", ""L3-142: Discriminant Analysis Techniques"", ""L3-142: Discriminant Analysis Techniques""]"
3,intermediate,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",,some kind of statistical or quantitative analysis,Partial Least Squares Regression (PLSR),This multivariate regression method correlates complex spectral features with known quantitative properties (such as trace element concentrations) to predict manufacturing parameters or raw material sources.,L3-119: Latent Variable Regression Methods,True,"[""L3-119: Latent Variable Regression Methods"", ""L3-119: Latent Variable Regression Methods"", ""L3-119: Latent Variable Regression Methods""]"
3,intermediate,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",,some kind of statistical or quantitative analysis,Non-negative Matrix Factorization (NMF),"This decomposition technique separates mixed signals in spectroscopic data into additive source spectra, aiding in the identification of specific mineral phases or impurities indicative of provenance.",L3-144: Matrix Decomposition and Optimization,True,"[""L3-144: Matrix Decomposition and Optimization"", ""L3-144: Matrix Decomposition and Optimization"", ""L3-144: Matrix Decomposition and Optimization""]"
3,intermediate,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",,some kind of statistical or quantitative analysis,Random Forest Classification,"This ensemble learning method handles high-dimensional, non-linear data robustly to classify artefacts while providing feature importance scores to highlight which physicochemical markers drive the decision.",L3-046: Tree-Based Ensemble Learning,True,"[""L3-046: Tree-Based Ensemble Learning"", ""L3-046: Tree-Based Ensemble Learning"", ""L3-046: Tree-Based Ensemble Learning""]"
3,intermediate,"How do I determine the composition, provenance, or manufacturing techniques of an artefact through physicochemical analysis?",,some kind of statistical or quantitative analysis,Procrustes Analysis,This geometric morphometric method aligns and compares the shape of compositional data clouds to test for significant differences between groups after accounting for rotation and scaling.,L3-027: Procrustes Analysis Methods,True,"[""L3-027: Procrustes Analysis Methods"", ""L3-027: Procrustes Analysis Methods"", ""L3-027: Procrustes Analysis Methods""]"
